Table name M3;Table name User;Column name M3;Column name M3
CAEXEL;Accounting exceptions;CXCONO;Company
CAEXEL;Accounting exceptions;CXDIVI;Division
CAEXEL;Accounting exceptions;CXEVEN;Accounting event
CAEXEL;Accounting exceptions;CXACTY;Accounting type
CAEXEL;Accounting exceptions;CXFDAT;From date
CAEXEL;Accounting exceptions;CXPREX;Priority
CAEXEL;Accounting exceptions;CXOBV1;Start value 1
CAEXEL;Accounting exceptions;CXOBV2;Start value 2
CAEXEL;Accounting exceptions;CXOBV3;Start value 3
CAEXEL;Accounting exceptions;CXOBV4;Start value 4
CAEXEL;Accounting exceptions;CXOBV5;Start value 5
CAEXEL;Accounting exceptions;CXOBT1;End value 1
CAEXEL;Accounting exceptions;CXOBT2;End value 2
CAEXEL;Accounting exceptions;CXOBT3;End value 3
CAEXEL;Accounting exceptions;CXOBT4;End value 4
CAEXEL;Accounting exceptions;CXOBT5;End value 5
CAEXEL;Accounting exceptions;CXAIT1;Accounting dimension 1
CAEXEL;Accounting exceptions;CXAIT2;Accounting dimension 2
CAEXEL;Accounting exceptions;CXAIT3;Accounting dimension 3
CAEXEL;Accounting exceptions;CXAIT4;Accounting dimension 4
CAEXEL;Accounting exceptions;CXAIT5;Accounting dimension 5
CAEXEL;Accounting exceptions;CXAIT6;Accounting dimension 6
CAEXEL;Accounting exceptions;CXAIT7;Accounting dimension 7
CAEXEL;Accounting exceptions;CXOVA2;Field
CAEXEL;Accounting exceptions;CXOVA3;Field
CAEXEL;Accounting exceptions;CXOVA4;Field
CAEXEL;Accounting exceptions;CXOVA5;Field
CAEXEL;Accounting exceptions;CXOVA6;Field
CAEXEL;Accounting exceptions;CXOVA7;Field
CAEXEL;Accounting exceptions;CXRGDT;Entry date
CAEXEL;Accounting exceptions;CXRGTM;Entry time
CAEXEL;Accounting exceptions;CXLMDT;Change date
CAEXEL;Accounting exceptions;CXCHNO;Change number
CAEXEL;Accounting exceptions;CXCHID;Changed by
CAEXEL;Accounting exceptions;CXLMTS;Timestamp
CAREPL;Replacement values;CYCONO;Company
CAREPL;Replacement values;CYDIVI;Division
CAREPL;Replacement values;CYOBJC;Field
CAREPL;Replacement values;CYAITP;Accounting dimension
CAREPL;Replacement values;CYOBJA;Lowest field value
CAREPL;Replacement values;CYSTDE;Valid from
CAREPL;Replacement values;CYOBJB;Highest field value
CAREPL;Replacement values;CYTRNV;New value
CAREPL;Replacement values;CYRGDT;Entry date
CAREPL;Replacement values;CYRGTM;Entry time
CAREPL;Replacement values;CYLMDT;Change date
CAREPL;Replacement values;CYCHNO;Change number
CAREPL;Replacement values;CYCHID;Changed by
CASTDV;Accounting rule;CVCONO;Company
CASTDV;Accounting rule;CVDIVI;Division
CASTDV;Accounting rule;CVEVEN;Accounting event
CASTDV;Accounting rule;CVACTY;Accounting type
CASTDV;Accounting rule;CVFDAT;From date
CASTDV;Accounting rule;CVAIT1;Accounting dimension 1
CASTDV;Accounting rule;CVAIT2;Accounting dimension 2
CASTDV;Accounting rule;CVAIT3;Accounting dimension 3
CASTDV;Accounting rule;CVAIT4;Accounting dimension 4
CASTDV;Accounting rule;CVAIT5;Accounting dimension 5
CASTDV;Accounting rule;CVAIT6;Accounting dimension 6
CASTDV;Accounting rule;CVAIT7;Accounting dimension 7
CASTDV;Accounting rule;CVOVA2;Field
CASTDV;Accounting rule;CVOVA3;Field
CASTDV;Accounting rule;CVOVA4;Field
CASTDV;Accounting rule;CVOVA5;Field
CASTDV;Accounting rule;CVOVA6;Field
CASTDV;Accounting rule;CVOVA7;Field
CASTDV;Accounting rule;CVPC11;Field
CASTDV;Accounting rule;CVPC12;Field
CASTDV;Accounting rule;CVPC13;Field
CASTDV;Accounting rule;CVPC14;Field
CASTDV;Accounting rule;CVPC15;Field
CASTDV;Accounting rule;CVPC21;Field
CASTDV;Accounting rule;CVPC22;Field
CASTDV;Accounting rule;CVPC23;Field
CASTDV;Accounting rule;CVPC24;Field
CASTDV;Accounting rule;CVPC25;Field
CASTDV;Accounting rule;CVPC31;Field
CASTDV;Accounting rule;CVPC32;Field
CASTDV;Accounting rule;CVPC33;Field
CASTDV;Accounting rule;CVPC34;Field
CASTDV;Accounting rule;CVPC35;Field
CASTDV;Accounting rule;CVPC41;Field
CASTDV;Accounting rule;CVPC42;Field
CASTDV;Accounting rule;CVPC43;Field
CASTDV;Accounting rule;CVPC44;Field
CASTDV;Accounting rule;CVPC45;Field
CASTDV;Accounting rule;CVPC51;Field
CASTDV;Accounting rule;CVPC52;Field
CASTDV;Accounting rule;CVPC53;Field
CASTDV;Accounting rule;CVPC54;Field
CASTDV;Accounting rule;CVPC55;Field
CASTDV;Accounting rule;CVPC61;Field
CASTDV;Accounting rule;CVPC62;Field
CASTDV;Accounting rule;CVPC63;Field
CASTDV;Accounting rule;CVPC64;Field
CASTDV;Accounting rule;CVPC65;Field
CASTDV;Accounting rule;CVPC71;Field
CASTDV;Accounting rule;CVPC72;Field
CASTDV;Accounting rule;CVPC73;Field
CASTDV;Accounting rule;CVPC74;Field
CASTDV;Accounting rule;CVPC75;Field
CASTDV;Accounting rule;CVPC81;Field
CASTDV;Accounting rule;CVPC82;Field
CASTDV;Accounting rule;CVPC83;Field
CASTDV;Accounting rule;CVPC84;Field
CASTDV;Accounting rule;CVPC85;Field
CASTDV;Accounting rule;CVPC91;Field
CASTDV;Accounting rule;CVPC92;Field
CASTDV;Accounting rule;CVPC93;Field
CASTDV;Accounting rule;CVPC94;Field
CASTDV;Accounting rule;CVPC95;Field
CASTDV;Accounting rule;CVPC01;Field
CASTDV;Accounting rule;CVPC02;Field
CASTDV;Accounting rule;CVPC03;Field
CASTDV;Accounting rule;CVPC04;Field
CASTDV;Accounting rule;CVPC05;Field
CASTDV;Accounting rule;CVRGDT;Entry date
CASTDV;Accounting rule;CVRGTM;Entry time
CASTDV;Accounting rule;CVLMDT;Change date
CASTDV;Accounting rule;CVCHNO;Change number
CASTDV;Accounting rule;CVCHID;Changed by
CASTDV;Accounting rule;CVLMTS;Timestamp
CBANAC;Bank accounts;BCCONO;Company
CBANAC;Bank accounts;BCDIVI;Division
CBANAC;Bank accounts;BCBKID;Bank account identity
CBANAC;Bank accounts;BCBKTP;Bank account type
CBANAC;Bank accounts;BCACHO;Account holder
CBANAC;Bank accounts;BCBKNO;Bank number
CBANAC;Bank accounts;BCBBRN;Bank branch identity
CBANAC;Bank accounts;BCSTAT;Status
CBANAC;Bank accounts;BCBANA;Bank account name
CBANAC;Bank accounts;BCAIT1;Accounting dimension 1
CBANAC;Bank accounts;BCAIT2;Accounting dimension 2
CBANAC;Bank accounts;BCAIT3;Accounting dimension 3
